Weights
"[[-2.18238095-4.37950870e-19j -2.0367636 -4.88229674e-19j
  -2.75623866-4.49225789e-19j -2.64554432-5.07744000e-19j
  -1.97806733+1.89730622e-19j -1.55651448-1.18632114e-19j
  -1.63022931+3.83090148e-19j]]"
"[[-2.22411713-1.32656738e-18j -2.06386644-1.00268569e-18j
  -2.65325   -1.26305352e-18j -2.61157764-1.31438160e-18j
  -2.4525316 -1.19348829e-18j -2.52334678-1.13067253e-18j
  -1.87234755-1.06239645e-18j -2.21494709-1.44680199e-18j
  -2.22959617-7.52030008e-19j -1.75276982-8.74883790e-19j
  -2.00007934-1.51186926e-18j -1.58395349-1.30529912e-18j
  -1.57979232-9.09962639e-19j]]"
"[[-2.22811717-4.17534918e-19j -2.07156494-5.01123830e-19j
  -2.59746261-3.71270662e-19j -2.63841503-5.59069058e-19j
  -2.46093676-3.69665762e-19j -2.48417301-6.25099597e-19j
  -1.85584034-6.45649983e-19j -2.1767986 -1.82306053e-19j
  -2.28003545-7.09651614e-19j -1.77515954+3.90817444e-20j
  -2.0348858 -4.69717422e-19j -1.62048327-6.84448750e-19j
  -1.579939  -2.94937138e-19j]]"
"[[-2.274356  -9.45429954e-19j -2.19829833-5.79116120e-19j
  -2.52341542-9.15350053e-19j -2.67464231-9.51098796e-19j
  -2.32756197-9.96001764e-19j -2.45621952-1.16399865e-18j
  -1.8569764 -1.35413606e-18j -2.15225349-1.01632964e-18j
  -2.27786969-1.14961335e-18j -1.8405663 -7.37227773e-19j
  -2.07677676-1.07466157e-18j -1.68202903-1.12203193e-18j
  -1.50843165-8.04706257e-19j]]"
"[[-2.22894115-1.11716662e-19j -2.07832541-1.11134851e-19j
  -2.65697739-4.10677186e-19j -2.63626579-1.36641060e-19j
  -2.46922702-3.75514193e-19j -2.48978441+5.51116816e-20j
  -1.88135942+1.47805509e-19j -2.15632305-1.78214672e-19j
  -2.24959299+2.62466214e-19j -1.76971311-4.38773802e-20j
  -2.03775526-2.24925052e-19j -1.64097969+5.15743812e-20j
  -1.49259941-3.74811184e-19j]]"
"[[-2.2284176 -2.27501131e-19j -2.09701422-8.28666518e-20j
  -2.58864488-1.76758609e-19j -2.67199732-3.52667150e-19j
  -2.44416488-2.94917911e-19j -2.48966699-2.44853649e-19j
  -1.84464529-1.73489609e-19j -2.17399212-4.51425673e-19j
  -2.31184877-2.10130317e-19j -1.7476789 -1.97036489e-19j
  -2.0498675 -3.63395036e-19j -1.64422161-3.08940396e-19j
  -1.52572883-2.27095288e-19j]]"
"[[-2.24187655-3.11352364e-19j -2.13287116-4.66372792e-19j
  -2.63801455-1.74350099e-19j -2.5559879 -3.29707652e-19j
  -2.47054965-2.40254798e-19j -2.52712282-4.53348490e-19j
  -1.89593918-5.51504633e-19j -2.17532704-1.87876036e-19j
  -2.28702111-5.37244668e-19j -1.75553368-1.56180563e-20j
  -2.02358743-3.69874162e-19j -1.57503252-4.44253250e-19j
  -1.5731164 -1.27937307e-19j]]"
"[[-2.22272147-4.24058163e-19j -2.0858373 -7.13582000e-19j
  -2.70979634-4.57010134e-19j -2.64116073-6.08111348e-19j
  -2.46119782-1.88366323e-19j -2.48295591-2.38543056e-19j
  -1.85471475-3.56177995e-19j -2.17694726-6.32523131e-19j
  -2.1739358 -3.95945871e-19j -1.76111838-3.86477226e-19j
  -1.95294821-1.16976219e-19j -1.63281279-4.29066411e-19j
  -1.58660375+1.71085062e-20j]]"
"[[-2.223571  +7.33704976e-19j -2.06187709+2.32157087e-19j
  -2.6276224 +6.27977282e-19j -2.66030656+6.74536487e-19j
  -2.41845966+7.10622449e-19j -2.48910784+6.18900662e-19j
  -1.89103684+7.39143448e-19j -2.18364882+7.68905310e-19j
  -2.26942717+5.85017100e-19j -1.7836236 +6.41983086e-19j
  -2.01502705+9.66316105e-19j -1.61478189+7.39110171e-19j
  -1.58813963+6.52241878e-19j]]"
"[[-2.26105883+6.68238647e-19j -2.18418083+1.50112864e-18j
  -2.52480878+4.81860941e-19j -2.67370403+7.08198454e-19j
  -2.40977119+5.27121628e-19j -2.45761888+2.75513847e-19j
  -1.82196491+9.36238425e-20j -2.15935557+6.15094395e-19j
  -2.24994014+2.40969129e-19j -1.83310106+5.93915583e-19j
  -2.05630885+4.67202297e-19j -1.65508334+3.94275731e-19j
  -1.52605624+2.00781600e-19j]]"
"[[-2.23275195-7.01922763e-19j -2.09373895-5.47362147e-19j
  -2.62127349-5.25203965e-19j -2.67972449-5.66444628e-19j
  -2.42216477-5.68442814e-19j -2.47365017-1.06003471e-18j
  -1.86060042-1.15823053e-18j -2.21746518-3.30336556e-19j
  -2.27421656-1.00855469e-18j -1.75121354-4.80427752e-19j
  -2.05490641-8.82670150e-19j -1.63719171-9.43117863e-19j
  -1.52608627-4.70670968e-19j]]"
"[[-2.20825507+1.08634700e-18j -2.00954284+1.00426330e-18j
  -2.72061953+1.13963282e-18j -2.59302902+1.05909113e-18j
  -2.47767598+1.26288862e-18j -2.45110449+1.08926361e-18j
  -1.85415207+1.02223768e-18j -2.24823502+1.58283666e-18j
  -2.23983513+8.09911959e-19j -1.69862136+7.97034232e-19j
  -2.01010167+1.34862682e-18j -1.54761688+1.26680268e-18j
  -1.62787482+1.15053611e-18j]]"
"[[-2.2169984 -5.68112177e-19j -2.01239513-6.27713491e-19j
  -2.69315888-5.77557147e-19j -2.58978858-5.15207777e-19j
  -2.50976422-5.96517111e-19j -2.5284013 -7.46120474e-19j
  -1.87688536-7.41050934e-19j -2.19028359-6.60093023e-19j
  -2.18169858-7.83075096e-19j -1.76995446-3.41654998e-19j
  -2.00646056-5.70743183e-19j -1.58995918-4.95253414e-19j
  -1.62055369-2.68529607e-19j]]"
"[[-2.24512229+1.01630529e-18j -2.09604817+1.13013328e-18j
  -2.59994817+7.89783982e-19j -2.63914375+8.61580811e-19j
  -2.45561236+1.05114176e-18j -2.50361036+1.08809134e-18j
  -1.89304836+9.15705793e-19j -2.16164825+9.52463496e-19j
  -2.2144937 +9.50729885e-19j -1.79921866+1.07358532e-18j
  -2.04774584+1.19973369e-18j -1.64362892+1.00130900e-18j
  -1.5230743 +1.04207049e-18j]]"
"[[-2.19037905+4.60168093e-19j -2.03990399+3.70570681e-19j
  -2.69740463+6.10498930e-19j -2.66079536+5.90560791e-19j
  -2.50479998+5.57252479e-19j -2.46661998+5.31024600e-19j
  -1.85036252+6.84455774e-19j -2.22731142+1.51874070e-19j
  -2.20977344+5.07937393e-19j -1.70416671+4.87939252e-19j
  -2.0147692 +5.29358598e-19j -1.60244095+3.67307242e-19j
  -1.59816021+2.49538341e-19j]]"
"[[-2.18026253-1.86377804e-19j -2.01379418-3.77192389e-19j
  -2.73575393-8.30815875e-20j -2.62635471-2.26910035e-19j
  -2.53694725-2.26203364e-19j -2.49439475+7.52665152e-20j
  -1.84953866+1.64148503e-19j -2.22311019-4.28117156e-19j
  -2.15375531+5.46562105e-20j -1.69310051-2.56898108e-19j
  -1.99650689-1.32008385e-19j -1.56941709+4.83833746e-20j
  -1.64153562-8.03949712e-20j]]"
"[[-2.21834926+4.48365000e-20j -1.99233244-8.42522449e-21j
  -2.70871698+2.53559690e-20j -2.63649326+1.76689960e-19j
  -2.48639527+9.34617838e-21j -2.45391107+1.32684288e-19j
  -1.88118205+2.07397977e-20j -2.18584515+6.55263986e-20j
  -2.21363806-1.30046881e-19j -1.75890233-1.56017977e-19j
  -2.02011409+1.17284339e-19j -1.59813882+3.14243465e-19j
  -1.60208109-5.70661638e-20j]]"
"[[-2.23527247+8.71321863e-19j -2.10469022+9.68867574e-19j
  -2.63343895+9.97347166e-19j -2.60019066+1.01002689e-18j
  -2.46739509+1.03396526e-18j -2.48705519+6.49024677e-19j
  -1.86340482+5.91718307e-19j -2.12204288+9.09629550e-19j
  -2.21350907+1.15898064e-18j -1.81781161+5.36860652e-19j
  -2.04435059+8.90096994e-19j -1.60751017+8.68434772e-19j
  -1.5816363 +3.74524012e-19j]]"
"[[-2.22072599-1.17309636e-18j -2.04116329-4.77102437e-19j
  -2.68049098-1.03715545e-18j -2.6368116 -1.20387251e-18j
  -2.45961829-1.17194422e-18j -2.50710743-1.00364096e-18j
  -1.88139566-9.49906820e-19j -2.22962856-8.73659669e-19j
  -2.25959283-1.04032856e-18j -1.72659141-1.00823775e-18j
  -2.04427665-1.47499224e-18j -1.62369219-1.16135140e-18j
  -1.53039282-9.88569955e-19j]]"
"[[-2.22447978+7.58558997e-19j -2.05176236+9.12366614e-19j
  -2.57295442+7.23280276e-19j -2.61737844+8.08820185e-19j
  -2.43611241+6.87933957e-19j -2.49190345+4.94255418e-19j
  -1.86624343+3.43977396e-19j -2.17916702+8.48817200e-19j
  -2.30392113+5.55394683e-19j -1.80024217+9.11730853e-19j
  -1.9871134 +6.41960531e-19j -1.66760823+7.05942194e-19j
  -1.58071353+5.89792946e-19j]]"
"[[-2.26774593-3.32493914e-19j -2.08498759+2.87193150e-19j
  -2.63177488-2.27700548e-19j -2.6497849 -3.54338851e-19j
  -2.41677257-3.67702749e-19j -2.50922732-5.32920009e-19j
  -1.83744309-8.77869923e-19j -2.10739662-2.29017811e-19j
  -2.21154102-4.97962428e-19j -1.91478821+1.60291679e-19j
  -2.03608651-7.82049723e-19j -1.64122662-6.43540191e-19j
  -1.53198083-6.15813460e-19j]]"
"[[-2.21028043+6.28900909e-19j -1.9987221 +6.58923731e-19j
  -2.71686101+6.81342613e-19j -2.60181647+6.34711377e-19j
  -2.50494416+8.10156158e-19j -2.44291743+3.99224799e-19j
  -1.86274981+2.85800047e-19j -2.21495564+7.05795095e-19j
  -2.2131896 +4.68566450e-19j -1.74323113+9.29977897e-19j
  -2.00771778+5.48575972e-19j -1.51807098+5.68821249e-19j
  -1.65299123+7.15893627e-19j]]"
"[[-2.22770193-9.62537190e-19j -2.03926015-1.09162385e-18j
  -2.63350332-1.01371761e-18j -2.6884683 -1.18354413e-18j
  -2.44110874-9.07744639e-19j -2.45549698-8.03353930e-19j
  -1.81818416-7.05594043e-19j -2.19418281-1.01849272e-18j
  -2.23272794-6.46837093e-19j -1.75681509-1.09231793e-18j
  -1.99150631-9.49623285e-19j -1.63829401-9.69327366e-19j
  -1.63113509-7.76323284e-19j]]"
