Weights
"[[-0.28060968-9.00320213e-20j  0.32841195-4.23545254e-20j
  -0.81948501+4.87910393e-20j -0.91447403+5.23305914e-20j
  -0.70783274+5.53156492e-20j -0.4304998 +2.74455934e-20j
  -0.30549496+6.83684066e-20j -0.02356398-5.31853512e-20j
  -0.27063129+7.68796673e-20j  0.26860288+4.82414758e-20j
  -0.67301445+5.76173825e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28072394-1.17121649e-19j  0.32883061-8.78851677e-20j
  -1.11446181-1.03096764e-19j -0.51853569-1.21333965e-19j
  -0.81964279-1.19974259e-19j -0.91561342-1.23094200e-19j
  -0.70750225-7.87051094e-20j -0.43084991-1.05237967e-19j
  -0.30532591-1.59533128e-19j -0.02347462-1.40058582e-19j
  -0.27078025-1.22015463e-19j  0.26858559-1.14998943e-19j
  -0.67298491-9.62084445e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28057426+5.84663285e-20j  0.32979641+6.56900451e-20j
  -1.11468145+3.74462672e-20j -0.51887698+5.25863687e-20j
  -0.81939131+1.78619054e-20j -0.91529379+4.30374268e-20j
  -0.70776378+2.99847257e-20j -0.4303368 +8.68753759e-20j
  -0.30497014+8.34948994e-21j -0.02321179+2.87374003e-20j
  -0.27084829+2.89521665e-20j  0.26824589+3.90395712e-20j
  -0.67332689-1.26517057e-21j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28060778-1.16921015e-19j  0.32906221-1.30131740e-19j
  -1.11449551-1.01788820e-19j -0.51846869-1.12317634e-19j
  -0.81966121-1.29453800e-19j -0.91523501-7.02961127e-20j
  -0.70799808-3.70664735e-20j -0.4303073 -6.72542941e-20j
  -0.30489235-1.31681088e-19j -0.02374981-1.24704654e-19j
  -0.26992165-1.18081367e-19j  0.26869213-8.52403743e-20j
  -0.67336302-1.05430877e-19j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28059577-4.42723006e-20j  0.329002  -6.04174377e-20j
  -1.11462068-5.26766502e-20j -0.5186447 -7.14601617e-20j
  -0.819771  -2.17758500e-20j -0.91472774-1.82677659e-20j
  -0.70734773-3.20504925e-20j -0.43038041-9.49392599e-20j
  -0.30530318-3.32039688e-20j -0.02344955-7.82598250e-20j
  -0.27099573-3.43353451e-20j  0.26785749-1.97847696e-20j
  -0.67281381-1.89517826e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28061212-7.90555917e-20j  0.32877122-1.12170243e-19j
  -1.11452963-9.58661401e-20j -0.51878236-1.08790975e-19j
  -0.8196975 -7.92271922e-20j -0.91502593-5.31805368e-20j
  -0.70741544-2.02145331e-20j -0.43051016-1.05388553e-19j
  -0.3057712 -4.51925324e-20j -0.0226234 -7.06741986e-20j
  -0.2710308 -6.56337324e-20j  0.26786529-5.89243564e-20j
  -0.67320778-6.11191004e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28067584-1.67679007e-19j  0.329044  -1.16115405e-19j
  -1.11476196-1.47328251e-19j -0.51885662-1.81639112e-19j
  -0.81974939-1.58196039e-19j -0.91441704-1.48798213e-19j
  -0.70790019-1.67505902e-19j -0.43048297-1.39140653e-19j
  -0.3050573 -1.76277211e-19j -0.02335861-1.45737851e-19j
  -0.27095806-1.76957594e-19j  0.26820907-1.64541841e-19j
  -0.67274193-1.01160474e-19j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28071312+2.77835625e-20j  0.32845247-1.94965422e-20j
  -1.11479648+1.51704237e-20j -0.51861008+3.83699468e-20j
  -0.81971448+3.29046610e-20j -0.91463915+3.74184762e-20j
  -0.7072794 +9.73209004e-20j -0.4313321 -2.38888382e-20j
  -0.30433294+7.49482360e-20j -0.02342041-3.03982121e-20j
  -0.27085334+5.61142301e-20j  0.26918227+7.70427540e-20j
  -0.67274808+1.99864381e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28057989-4.49560985e-21j  0.32957637+1.46832101e-20j
  -1.11442188-1.12189007e-20j -0.51837465-2.57513922e-20j
  -0.81946637+1.06840538e-20j -0.91467779-6.54883375e-21j
  -0.70711609-2.02439119e-20j -0.43108787+5.02400567e-21j
  -0.30463513-2.81290336e-20j -0.02425544-3.34193649e-20j
  -0.27062499-1.20378589e-20j  0.26867508-1.09408914e-20j
  -0.67341075+7.83574854e-21j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28055057-9.99963909e-21j  0.32839844+8.47786112e-21j
  -1.11450624-1.29672286e-20j -0.51833045-1.13037782e-20j
  -0.81967447-1.16350180e-20j -0.91477373-2.43675318e-20j
  -0.70749054-4.68177639e-20j -0.43106713-3.97360430e-20j
  -0.30519255-1.51980637e-20j -0.02316444+4.97550875e-21j
  -0.2702239 -4.25505043e-20j  0.26870318-4.48762388e-20j
  -0.6731728 +2.87342117e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28058917+8.83508962e-21j  0.32842034+3.43831821e-20j
  -1.11476013+1.14501351e-20j -0.51890126+2.51965438e-20j
  -0.81941622+2.42462359e-20j -0.91525297+3.94701299e-20j
  -0.70809883+8.44022415e-20j -0.43154934+2.64017378e-20j
  -0.30445373+8.30334256e-20j -0.02299762-6.46146441e-21j
  -0.27063776+1.53935849e-20j  0.2686157 +2.39484994e-20j
  -0.67279699-1.15794199e-21j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28055494+6.02170038e-21j  0.32766712+1.09438278e-19j
  -1.11422318+8.15559866e-21j -0.51842798+9.57189797e-21j
  -0.81935522+2.13361170e-20j -0.91431023-1.95876244e-20j
  -0.70720931-2.24402186e-20j -0.43105325+9.36877327e-21j
  -0.30497287+9.14928072e-22j -0.0234853 +8.38380849e-20j
  -0.27073534-5.58321925e-20j  0.26897743-2.02593654e-20j
  -0.67312643+1.33270410e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28064275-3.87192289e-20j  0.32967573-7.10417463e-20j
  -1.11477434-4.12243904e-20j -0.51922085-5.39897800e-20j
  -0.81922204-5.22280773e-20j -0.91487515-5.32096951e-21j
  -0.70689883-6.22677458e-21j -0.43179059-2.74530605e-20j
  -0.30491489-2.62924448e-20j -0.02305031-1.33201008e-19j
  -0.27059216-3.48205792e-20j  0.26849382-3.70919303e-21j
  -0.67288434-1.76206399e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
